"","Country","Category","Year","n_3","n_2","n_1","n_0"
"1","austria","Audit",1992,0,0,0,0
"2","austria","Audit",1993,0,0,0,0
"3","austria","Audit",1994,0,0,0,0
"4","austria","Audit",1995,0,0,0,0
"5","austria","Audit",1996,0,0,0,0
"6","austria","Audit",1997,0,0,0,0
"7","austria","Audit",1998,0,0,0,0
"8","austria","Audit",1999,0,0,0,0
"9","austria","Audit",2000,0,0,0,0
"10","austria","Audit",2001,0,0,0,0
"11","austria","Audit",2002,0,0,0,0
"12","austria","Audit",2003,0,0,0,0
"13","austria","Audit",2004,0,0,0,0
"14","austria","Audit",2005,1,0,0,0
"15","austria","Audit",2006,1,1,0,0
"16","austria","Audit",2007,1,1,1,0
"17","austria","Audit",2008,1,1,1,1
"18","austria","Audit",2009,1,1,1,0
"19","austria","Audit",2010,1,1,0,0
"20","austria","Audit",2011,1,0,0,0
"21","austria","Audit",2012,0,0,0,0
"22","austria","Audit",2013,2,0,0,0
"23","austria","Audit",2014,2,2,0,0
"24","austria","Audit",2015,2,2,2,0
"25","austria","Audit",2016,2,2,2,2
"26","austria","Audit",2017,2,2,2,0
"27","austria","Audit",2018,2,2,0,0
"28","austria","Audit",2019,2,0,0,0
"29","austria","Audit",2020,0,0,0,0
"30","austria","Audit",2021,0,0,0,0
"31","austria","Audit",2022,0,0,0,0
"32","austria","Audit",2023,0,0,0,0
"33","austria","Audit",2024,0,0,0,0
"34","austria","Audit",2025,0,0,0,0
"35","austria","Audit",2026,0,0,0,0
"36","austria","FA",1992,1,1,0,0
"37","austria","FA",1993,3,1,1,0
"38","austria","FA",1994,4,3,1,1
"39","austria","FA",1995,4,4,3,0
"40","austria","FA",1996,5,4,3,2
"41","austria","FA",1997,5,4,3,1
"42","austria","FA",1998,4,4,2,0
"43","austria","FA",1999,4,2,1,1
"44","austria","FA",2000,2,1,1,0
"45","austria","FA",2001,1,1,0,0
"46","austria","FA",2002,2,0,0,0
"47","austria","FA",2003,2,1,0,0
"48","austria","FA",2004,5,2,1,0
"49","austria","FA",2005,6,5,2,1
"50","austria","FA",2006,7,6,5,1
"51","austria","FA",2007,7,7,5,3
"52","austria","FA",2008,7,6,5,1
"53","austria","FA",2009,7,5,2,1
"54","austria","FA",2010,10,3,1,0
"55","austria","FA",2011,8,6,1,0
"56","austria","FA",2012,9,6,5,1
"57","austria","FA",2013,8,8,6,4
"58","austria","FA",2014,8,8,7,1
"59","austria","FA",2015,10,7,3,2
"60","austria","FA",2016,10,5,2,0
"61","austria","FA",2017,7,5,2,0
"62","austria","FA",2018,6,4,3,2
"63","austria","FA",2019,4,4,4,1
"64","austria","FA",2020,5,4,2,1
"65","austria","FA",2021,5,3,1,0
"66","austria","FA",2022,3,2,1,0
"67","austria","FA",2023,2,1,1,1
"68","austria","FA",2024,1,1,1,0
"69","austria","FA",2025,1,1,0,0
"70","austria","FA",2026,1,0,0,0
"71","austria","Other",1992,1,0,0,0
"72","austria","Other",1993,1,1,0,0
"73","austria","Other",1994,1,1,1,0
"74","austria","Other",1995,1,1,1,1
"75","austria","Other",1996,1,1,1,0
"76","austria","Other",1997,1,1,0,0
"77","austria","Other",1998,1,0,0,0
"78","austria","Other",1999,0,0,0,0
"79","austria","Other",2000,0,0,0,0
"80","austria","Other",2001,0,0,0,0
"81","austria","Other",2002,2,0,0,0
"82","austria","Other",2003,3,2,0,0
"83","austria","Other",2004,5,3,2,0
"84","austria","Other",2005,5,5,3,2
"85","austria","Other",2006,6,5,5,1
"86","austria","Other",2007,6,6,3,2
"87","austria","Other",2008,6,4,3,0
"88","austria","Other",2009,4,3,1,1
"89","austria","Other",2010,3,1,1,0
"90","austria","Other",2011,1,1,0,0
"91","austria","Other",2012,1,0,0,0
"92","austria","Other",2013,2,0,0,0
"93","austria","Other",2014,2,2,0,0
"94","austria","Other",2015,4,2,2,0
"95","austria","Other",2016,5,4,2,2
"96","austria","Other",2017,5,5,4,0
"97","austria","Other",2018,5,5,3,2
"98","austria","Other",2019,6,3,3,1
"99","austria","Other",2020,4,4,1,0
"100","austria","Other",2021,5,2,1,0
"101","austria","Other",2022,4,2,1,1
"102","austria","Other",2023,3,3,2,0
"103","austria","Other",2024,3,3,2,1
"104","austria","Other",2025,3,2,2,1
"105","austria","Other",2026,2,2,1,0
"106","austria","Tax",1992,1,1,0,0
"107","austria","Tax",1993,1,1,1,0
"108","austria","Tax",1994,1,1,1,1
"109","austria","Tax",1995,1,1,1,0
"110","austria","Tax",1996,1,1,0,0
"111","austria","Tax",1997,1,0,0,0
"112","austria","Tax",1998,0,0,0,0
"113","austria","Tax",1999,0,0,0,0
"114","austria","Tax",2000,0,0,0,0
"115","austria","Tax",2001,0,0,0,0
"116","austria","Tax",2002,2,0,0,0
"117","austria","Tax",2003,2,2,0,0
"118","austria","Tax",2004,2,2,2,0
"119","austria","Tax",2005,3,2,2,2
"120","austria","Tax",2006,3,3,2,0
"121","austria","Tax",2007,3,3,1,0
"122","austria","Tax",2008,3,1,1,1
"123","austria","Tax",2009,2,1,1,0
"124","austria","Tax",2010,2,2,0,0
"125","austria","Tax",2011,2,1,1,0
"126","austria","Tax",2012,1,1,1,1
"127","austria","Tax",2013,1,1,1,0
"128","austria","Tax",2014,2,1,0,0
"129","austria","Tax",2015,2,1,0,0
"130","austria","Tax",2016,2,1,1,0
"131","austria","Tax",2017,2,2,1,1
"132","austria","Tax",2018,2,2,2,0
"133","austria","Tax",2019,2,2,1,1
"134","austria","Tax",2020,3,1,1,0
"135","austria","Tax",2021,3,2,0,0
"136","austria","Tax",2022,3,2,1,0
"137","austria","Tax",2023,2,2,2,1
"138","austria","Tax",2024,2,2,2,1
"139","austria","Tax",2025,2,2,1,0
"140","austria","Tax",2026,2,1,0,0
"141","austria","FA",1991,1,NA,NA,NA
"142","austria","Tax",1991,1,NA,NA,NA
"143","austria","Other",2027,2,1,NA,NA
"144","austria","Tax",2027,1,NA,NA,NA
"145","austria","Other",2028,1,NA,NA,NA
"146","belgium","Audit",1992,0,0,0,0
"147","belgium","Audit",1993,0,0,0,0
"148","belgium","Audit",1994,0,0,0,0
"149","belgium","Audit",1995,0,0,0,0
"150","belgium","Audit",1996,0,0,0,0
"151","belgium","Audit",1997,1,0,0,0
"152","belgium","Audit",1998,1,1,0,0
"153","belgium","Audit",1999,1,1,1,0
"154","belgium","Audit",2000,1,1,1,1
"155","belgium","Audit",2001,1,1,1,0
"156","belgium","Audit",2002,1,1,0,0
"157","belgium","Audit",2003,1,0,0,0
"158","belgium","Audit",2004,0,0,0,0
"159","belgium","Audit",2005,1,0,0,0
"160","belgium","Audit",2006,1,1,0,0
"161","belgium","Audit",2007,1,1,1,0
"162","belgium","Audit",2008,1,1,1,1
"163","belgium","Audit",2009,1,1,1,0
"164","belgium","Audit",2010,1,1,0,0
"165","belgium","Audit",2011,1,0,0,0
"166","belgium","Audit",2012,0,0,0,0
"167","belgium","Audit",2013,2,0,0,0
"168","belgium","Audit",2014,2,2,0,0
"169","belgium","Audit",2015,2,2,2,0
"170","belgium","Audit",2016,2,2,2,2
"171","belgium","Audit",2017,2,2,2,0
"172","belgium","Audit",2018,2,2,0,0
"173","belgium","Audit",2019,2,0,0,0
"174","belgium","Audit",2020,0,0,0,0
"175","belgium","Audit",2021,0,0,0,0
"176","belgium","Audit",2022,0,0,0,0
"177","belgium","Audit",2023,0,0,0,0
"178","belgium","Audit",2024,0,0,0,0
"179","belgium","Audit",2025,0,0,0,0
"180","belgium","Audit",2026,0,0,0,0
"181","belgium","FA",1992,1,1,1,0
"182","belgium","FA",1993,1,1,1,1
"183","belgium","FA",1994,1,1,1,0
"184","belgium","FA",1995,1,1,0,0
"185","belgium","FA",1996,2,0,0,0
"186","belgium","FA",1997,1,1,0,0
"187","belgium","FA",1998,1,1,1,0
"188","belgium","FA",1999,1,1,1,1
"189","belgium","FA",2000,1,1,1,0
"190","belgium","FA",2001,1,1,0,0
"191","belgium","FA",2002,4,0,0,0
"192","belgium","FA",2003,6,3,0,0
"193","belgium","FA",2004,8,6,3,0
"194","belgium","FA",2005,10,8,6,3
"195","belgium","FA",2006,11,10,8,3
"196","belgium","FA",2007,11,11,7,2
"197","belgium","FA",2008,11,8,5,2
"198","belgium","FA",2009,9,5,3,1
"199","belgium","FA",2010,9,4,1,0
"200","belgium","FA",2011,8,5,1,0
"201","belgium","FA",2012,8,5,4,1
"202","belgium","FA",2013,7,7,5,3
"203","belgium","FA",2014,7,7,6,1
"204","belgium","FA",2015,9,6,3,2
"205","belgium","FA",2016,9,5,2,0
"206","belgium","FA",2017,7,5,2,0
"207","belgium","FA",2018,6,4,3,2
"208","belgium","FA",2019,4,4,4,1
"209","belgium","FA",2020,5,4,2,1
"210","belgium","FA",2021,5,3,1,0
"211","belgium","FA",2022,3,2,1,0
"212","belgium","FA",2023,2,1,1,1
"213","belgium","FA",2024,1,1,1,0
"214","belgium","FA",2025,1,1,0,0
"215","belgium","FA",2026,1,0,0,0
